GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Bottleneck Buster,com.supermercado.infrastructure.adapter.ui,SwingEventAdapter,275,0,0,0,71,0,18,0,18,0
Bottleneck Buster,com.supermercado.domain.cooperativa.service,AsignadorCajasService,82,76,26,13,11,14,23,6,4,5
Bottleneck Buster,com.supermercado.domain.cooperativa.service,EstadisticasFinancierasService,66,362,9,11,9,67,15,26,9,22
Bottleneck Buster,com.supermercado.domain.cooperativa.service,EstadisticasFase,81,246,6,10,11,38,12,12,7,9
Bottleneck Buster,com.supermercado.domain.cooperativa.service,SimuladorCooperativaService,330,969,70,78,30,184,64,50,13,27
Bottleneck Buster,com.supermercado.domain.cooperativa.service,GeneradorSociosService,98,686,18,14,7,89,19,16,5,14
Bottleneck Buster,com.supermercado.domain.cooperativa.service,SimuladorMensualService,160,859,49,65,25,184,55,33,9,22
Bottleneck Buster,com.supermercado.infrastructure.repository,ConfiguracionRepositorioImpl,322,0,4,0,69,0,12,0,10,0
Bottleneck Buster,com.supermercado.infrastructure.adapter.preset,PresetManager,3,35,1,3,1,9,2,3,1,2
Bottleneck Buster,com.supermercado.infrastructure.adapter.export,ExcelExportadorAdapter,1032,0,24,0,182,0,28,0,16,0
Bottleneck Buster,com.supermercado.infrastructure.adapter.export,PdfExportadorAdapter,1228,0,24,0,146,0,26,0,14,0
Bottleneck Buster,com.supermercado.infrastructure.adapter.export,TxtExportadorAdapter,693,0,14,0,86,0,15,0,8,0
Bottleneck Buster,com.supermercado.infrastructure.adapter.export,HistorialImportadorAdapter,115,936,41,61,21,173,36,24,0,9
Bottleneck Buster,com.supermercado.application.cooperativa.dto,SocioDTO,66,0,0,0,19,0,19,0,19,0
Bottleneck Buster,com.supermercado.application.cooperativa.dto,CalibracionMensual,0,63,0,0,0,22,0,11,0,11
